Issuer,Title,Content
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно Глава VI, член 40 стaв 1, од Правилата за котација, Жито Лукс АД Скопје, ги објавува Финансиските извештаи за 2023 година со мислење на независниот ревизор и Годишниот извештај за работењето на друштвото за 2023 година, кои беа усвоени на Годишното Акционерско Собрание одржано на 17/05/2024:"
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно Глава 6, член 39, став 7 од Правилата за котација, Жито Лукс АД Скопје ги објавува одлуките кои беа усвоени на Годишното Акционерско Собрание одржано на 17.05.2024:"
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно член 40 од Правилата за котација, Жито Лукс АД Скопје објавува неревидиран биланс на успех за првото тромесечие од 2024 година: "
zito-luks-ad-skopje/,Жито Лукс АД Скопје,Образложение за резултатот од работењето за периодот 01.01-31.03.2024.
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно Глава 6, член 39 од Правилата за котација, Жито Лукс АД Скопје, ги објавува целосните материјали за годишното Собрание на акционери кое ќе се одржи на 17/05/2024 година: "
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидирани консолидирани финансиски извештаи Групација ЗК Пелагонија 01.01-30.09.2024
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидиран биланс на успех за ЗК Пелагонија 01.01-30.09.2024
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидирани консолидирани финансиски извештаи за Групацијата ЗК Пелагонија АД Битола - 30.06.2024
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидирани Финансиски Извештаи за ЗК Пелагонија 30.06.2024
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Ревидирани консолидирани финансиски извештаи за групација ЗК Пелагонија 31.12.2023 год. 
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Ревизорски извештај за ЗК Пелагонија 2023 год.
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Консолидиран извештај за Групација ЗК Пелагонија АД Битола 01.01 - 31.03.2024
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидиран биланс на успех за ЗК Пелагонија АД Битола - 31.03.2024
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидиран консолидиран финансиски извештај за Групација ЗК Пелагонија 31.12.2023
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидирани финансиски извештаи ЗК Пелагонија АД Битола 31.12.2023
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,ОБРАЗЛОЖЕНИЕ КОН НЕРЕВИДИРАНИТЕ КОНСОЛИДИРАНИ ФИНАНСИСКИ ИЗВЕШТАИ 31.09.2024 ЗК ПЕЛАГОНИЈА
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидирани консолидирани финансиски извештаи Групација ЗК Пелагонија 01.01-30.09.2024
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Образложение на билансот на успех неконсолидиран 30.09.2024 ЗК Пелагонија АД Битола
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Неревидиран биланс на успех за ЗК Пелагонија 01.01-30.09.2024
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Промена на сопственост на над 5% акции.
zk-pelagonija-ad-bitola/,ЗК Пелагонија АД Битола,Образложение на консолидираниот финансиски извештај за групација ЗК Пелагонија АД Битола 30.06.2024
